,Unnamed: 0,Unnamed: 0.1,address,business type,city,lat,long,names,number of yelp reviews,yelp rating,zip
0,0,0.0,1501 E St,Breweries,San Diego,32.7145590497446,-117.150228582323,10 Barrel Brewing - San Diego,364.0,4.5,92101.0
1,1,1.0,1304 Scott St,Breweries,Petaluma California,38.26995,-122.66493,101 North Brewing Company,64.0,4.0,94954.0
2,2,2.0,8035 Broadway,Breweries,Lemon Grove,32.742785999999995,-117.02491,13 Point Brewing Company,35.0,4.5,91945.0
3,3,3.0,31125 Via Colinas,Breweries,Westlake Village,34.1535538,-118.80316950000001,14 Cannons,75.0,4.5,91362.0
4,4,4.0,1795 Hancock St,Breweries,San Diego,32.7424694,-117.18466780000001,Latchkey Brewing Company,24.0,5.0,92110.0
5,5,5.0,141 E Main St,Breweries,Grass Valley,39.2193141616587,-121.060496717691,Grass Valley Brewing Company,22.0,4.5,95945.0
6,6,7.0,2010 Williams St,Breweries,San Leandro,37.7120399,-122.1776428,21st Amendment Brewery,260.0,4.0,94577.0
7,7,9.0,8680 Miralani Dr,Breweries,San Diego,32.896564,-117.137428,2kids Brewing Co,86.0,4.0,92126.0
8,8,10.0,501 Mendocino Ave,Breweries,Santa Rosa,38.44193,-122.71558,3 Disciples Brewing,28.0,4.5,95401.0
9,9,11.0,898 Via Lata,Breweries,Colton,34.055908203125,-117.306198120117,3 Iron Brewing Company,50.0,5.0,92324.0
10,10,12.0,8655 Production Ave,Breweries,San Diego,32.8827438354492,-117.164985656738,32 North Brewing Co,171.0,4.5,92121.0
11,11,13.0,137 S Linden Ave,Breweries,South San Francisco,37.644218,-122.413452,47 Hills Brewing Company,159.0,4.5,94080.0
12,12,15.0,356 Pollasky Ave,Breweries,Clovis,36.825516,-119.702201,559 Beer,65.0,4.0,93612.0
13,13,16.0,600 S La Brea Ave,Breweries,Los Angeles,34.06469,-118.34368,6th & La Brea Brewery & Restaurant,266.0,4.0,90036.0
14,14,17.0,675 Clarion Ct,Breweries,San Luis Obispo,35.24409,-120.64595,Tap It Brewing,100.0,4.5,93401.0
15,15,19.0,8951 De Soto Ave,Breweries,Canoga Park,34.23335720000001,-118.58868490000002,8one8 Brewing,55.0,4.5,91304.0
16,16,20.0,821 Cornwall St,Breweries,Cambria,35.5666732788086,-121.098457336426,927 Beer Company,157.0,4.5,93428.0
