PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,COUNTY
CA-W-20361,VIAN ESTATES LLC,VIAN ESTATES,22406 HIDDEN RANCH RD,AUBURN,CA,95602,NEVADA
CA-W-21184,CLAVEY VINEYARDS & WINERY LLC,CLAVEY VINEYARDS & WINERY,14709 POWERLINE RD,CHICAGO PARK,CA,95712,NEVADA
CA-W-17297,TOM BESEMER,BESEMER CELLARS,16535 FOOTEHOLD DR,GRASS VALLEY,CA,95949,NEVADA
CA-W-2675,JOHN & LINDA CHASE BRENDA & STEPHEN TAYLOR,SIERRA KNOLLS VINEYARD AND FOOTHILL WINERY,19635 KINGSWOOD CT,GRASS VALLEY,CA,95949,NEVADA
CA-W-21968,"DEO VOLENTE VINEYARDS, INC.",,16228 FOOTEHOLD DR,GRASS VALLEY,CA,95949,NEVADA
CA-W-23158,"PIOLA WINES, INC.",PIOLA WINES,18125 ROSEMARY LN,GRASS VALLEY,CA,95949,NEVADA
CA-W-15335,MARK LAVON HENRY,MONTOLIVA VINEYARD AND WINERY,15629 MT OLIVE RD,GRASS VALLEY,CA,95945,NEVADA
CA-W-16509,"BENT METAL WINERY, INC.",,14364 MCCOURTNEY RD,GRASS VALLEY,CA,95949,NEVADA
CA-W-3247,"LUCCHESI VINEYARDS & WINERY, INC.",,19698 VIEW FOREVER LN,GRASS VALLEY,CA,95945,NEVADA
CA-W-3564,"SMITH VINEYARD & WINERY, INC.",,13719 DOG BAR RD STE A,GRASS VALLEY,CA,95949,NEVADA
CA-W-3635,"NAGGIAR VINEYARDS, LLC",NAGGIAR VINEYARDS,18125 ROSEMARY LN,GRASS VALLEY,CA,95949,NEVADA
CA-W-2261,PHILLIP A. STARR & ANNE F. STARR,SIERRA STARR VINEYARD & WINERY,11179 GIBSON DR,GRASS VALLEY,CA,95945,NEVADA
CA-W-1162,"N.C.W.G., INC.",NEVADA CITY WINERY,321 SPRING ST,NEVADA CITY,CA,95959,NEVADA
CA-W-1792,ANTHONY H. NORSKOG,,11372 WINTER MOON WAY,NEVADA CITY,CA,95959,NEVADA
CA-W-16810,"REVE D'OR VINEYARDS & WINERY, LLC",SZABO VINEYARDS,14293 GOLD FORK RD,NEVADA CITY,CA,95959,NEVADA
CA-W-2380,GARY M. & ANNA K. JOHNSON,VILLANELLE,13372 MCKITRICK RANCH RD,NEVADA CITY,CA,95959,NEVADA
CA-W-22070,ANT PRODUCTIONS LLC,TINTYPE WINERY,75 BOST AVE UNIT 3,NEVADA CITY,CA,95959,NEVADA
CA-W-15422,AVANGUARDIA WINES LLC,AVANGUARDIA WINES,13028 JONES BAR RD,NEVADA CITY,CA,95959,NEVADA
CA-W-2437,ROBERT B. & VIRGINIA L. HILSMAN,DOUBLE OAK VINEYARDS & WINERY,14510 BLIND SHADY RD,NEVADA CITY,CA,95959,NEVADA
CA-W-15043,"PILOT PEAK VINEYARD & WINERY, LLC",,12888 SPENCEVILLE RD,PENN VALLEY,CA,95946,NEVADA
CA-W-17403,"GRAY PINE WINERY, LLC",GRAY PINE WINERY,19396 BRANDING IRON RD,PENN VALLEY,CA,95946,NEVADA
CA-W-16010,OAKSPRINGS VINEYARDS & WINERY LLC,,10460 OAKSPRINGS RD,PENN VALLEY,CA,95946,NEVADA
CA-W-22588,"ROUGH AND READY VINEYARDS, INC.",ROUGH & READY VINEYARDS,17860 CATTLE DR,ROUGH & READY,CA,95975,NEVADA
CA-W-15226,JANET WHEELING AND HENRY COUFOS,COUFOS CELLARS,10065 ROUGH AND READY ROAD,ROUGH AND READY,CA,95975,NEVADA
CA-W-22631,"TRUCKEE WINERY, INC.",TRUCKEE RIVER WINERY,10061 S RIVER ST,TRUCKEE,CA,96161,NEVADA
CA-W-16850,RUSSELL D JONES & JOAN A DERYK-JONES,TRUCKEE RIVER WINERY,10151 BROCKWAY RD,TRUCKEE,CA,96161,NEVADA
CA-W-2875,MCCORMACK-WILLIAMSON COMPANY,,3125 E ORANGE ST,ACAMPO,CA,95220,ORANGE
CA-W-16484,"OC CUSTOM WINE, INC.",OC CUSTOM WINE,1211 N LAS BRISAS ST,ANAHEIM,CA,92806,ORANGE
CA-W-22829,"HONEY POT MEADERY, LLC",HONEY POT MEADERY,5120 E LA PALMA STE 104,ANAHEIM,CA,92807,ORANGE
CA-W-3459,JEFFREY A. DOBKIN & JULIE G. THOMPSON-DOBKIN,THOMPKIN CELLARS,1954 PLACENTIA AVE STE 107,COSTA MESA,CA,92627,ORANGE
CA-W-17216,DENNIS MIDDEN,PURPLE FEET,7240 HEIL AVE,HUNTINGTON BEACH,CA,92647,ORANGE
CA-W-3594,MARLOWE HUBER & ELAINE TAN,LAGUNA CANYON WINERY,2133 LAGUNA CANYON RD,LAGUNA BEACH,CA,92651,ORANGE
CA-W-17076,RED VELVET LLC,THE WINE ARTIST,21064 BAKE PKWY STE 100,LAKE FOREST,CA,92630,ORANGE
